Date,Weight
2/4/2020,53.5
5/4/2020,52.9
11/4/2020,51.1
14/4/2020,51.4
16/4/2020,51.9
17/4/2020,51.9
18/4/2020,51.9
19/4/2020,51.9
20/4/2020,51.1
21/4/2020,51.2
22/4/2020,51.3
23/4/2020,51.8
24/4/2020,51.7
25/4/2020,51.4
26/4/2020,51.5
27/4/2020,51.4
28/4/2020,51.4
29/4/2020,51.5
30/4/2020,51.0
1/5/2020,51.1
2/5/2020,51.5
3/5/2020,51.1
4/5/2020,51.2
5/5/2020,51.4
6/5/2020,51.5
7/5/2020,50.6
8/5/2020,51.4
9/5/2020,51.2
10/5/2020,51.4
11/5/2020,51.0
12/5/2020,51.4
13/5/2020,51.2
14/5/2020,51.4
15/5/2020,51.2
16/5/2020,51.0
17/5/2020,51.0
18/5/2020,50.7
19/5/2020,50.6
